"","LAT","LON","PM25"
"1",23.8541666666667,100.4225,1.79013884975694e-10
"2",23.2986111111111,99.3525,5.88188479205845e-10
"3",23.2569444444444,99.3475,1.15080354627202e-10
"4",23.2430555555556,99.3325,1.52161802229345e-09
"5",23.2152777777778,99.3725,2.42947415324134e-10
"6",23.2152777777778,99.3975,7.69759705395532e-09
"7",23.2152777777778,99.4025,2.70055232191921e-08
"8",23.1180555555556,106.3375,4.36026676976536e-09
"9",23.0902777777778,100.8075,3.19667651742303e-10
"10",23.0625,106.8625,2.81307533533219e-10
"11",23.0486111111111,106.3725,2.17374003184779e-10
"12",23.0347222222222,106.3625,5.75401773136167e-10
"13",22.9930555555556,106.7725,3.44090260335445e-08
"14",22.9930555555556,106.7775,6.15040561952241e-09
"15",22.9791666666667,106.7775,9.59002955226963e-10
"16",22.9652777777778,106.8675,3.58027769951388e-10
"17",22.9375,106.3675,1.54719143443286e-09
"18",22.9236111111111,106.3825,4.21961300299881e-10
"19",22.9097222222222,106.3375,1.91800591045371e-10
"20",22.8819444444444,106.3575,3.83601182090796e-10
"21",22.8819444444444,106.3775,1.66227178906017e-10
"22",22.8680555555556,106.3475,6.2654859741493e-10
"23",22.8402777777778,106.4075,9.7178966129664e-10
"24",22.8402777777778,106.4125,3.45241063881711e-10
"25",22.8263888888889,106.3825,2.68520827463541e-10
"26",22.8125,106.4525,7.41628952042184e-10
"27",22.7986111111111,106.3275,7.28842245972507e-10
"28",22.7847222222222,106.3325,2.55734121393864e-10
"29",22.7569444444444,106.3775,1.27867060696932e-10
"30",22.7430555555556,106.3975,6.64908715624014e-10
"31",22.7013888888889,106.3325,7.67202364181168e-11
"32",22.6597222222222,99.0125,1.77735214368732e-09
"33",22.6319444444444,99.0525,1.40653766766609e-10
"34",22.6180555555556,106.3625,1.02293648557524e-10
"35",22.6041666666667,99.0525,2.17374003184779e-10
"36",22.6041666666667,99.0575,4.98681536717998e-10
"37",22.6041666666667,99.3325,9.56445614013049e-09
"38",22.6041666666667,106.3875,7.41628952042184e-10
"39",22.5902777777778,99.1125,1.40653766766609e-10
"40",22.5902777777778,106.3975,1.27867060696932e-10
"41",22.5902777777778,106.4075,2.94094239602949e-10
"42",22.5763888888889,106.3975,7.67202364181168e-11
"43",22.5763888888889,106.4075,1.79013884975694e-10
"44",22.5625,99.0475,2.55734121393864e-10
"45",22.5625,99.2125,6.39335303484395e-11
"46",22.5625,106.4075,2.81307533533219e-10
"47",22.5486111111111,99.0925,1.03572319164513e-09
"48",22.5486111111111,99.2775,1.15080354627239e-09
"49",22.5486111111111,99.2925,4.60321418508913e-10
"50",22.5347222222222,99.2775,1.40653766766609e-10
"51",22.5347222222222,106.4075,1.02293648557524e-10
"52",22.5347222222222,106.4475,1.15080354627202e-10
"53",22.5208333333333,99.0125,2.45504756538106e-09
"54",22.5069444444444,99.3025,1.02293648557524e-10
"55",22.5069444444444,99.3275,1.03316585043121e-08
"56",22.4930555555556,99.3225,2.85143545354159e-09
"57",22.4930555555556,99.3375,3.96387888160473e-10
"58",22.4652777777778,99.2975,1.02293648557524e-10
"59",22.4652777777778,99.3275,1.40653766766609e-10
"60",22.4513888888889,99.2875,7.03268833833099e-10
"61",22.4513888888889,99.3525,1.27867060696932e-10
"62",22.4513888888889,99.3575,2.23767356219628e-09
"63",22.4375,99.3475,1.73899202547823e-09
"64",22.4236111111111,98.9725,1.27867060696932e-10
"65",22.4236111111111,99.2325,2.17374003184779e-10
"66",22.4236111111111,99.3375,1.15080354627202e-10
"67",22.4236111111111,99.3625,1.6111249647813e-09
"68",22.4097222222222,99.0175,3.06880945672626e-10
"69",22.4097222222222,99.0225,5.94581832240731e-09
