"","LAT","LON","CO2"
"1",23.8541666666667,100.4225,5.77198103105892e-08
"2",23.2986111111111,99.3525,1.97209351894556e-07
"3",23.2569444444444,99.3475,1.44299525776405e-08
"4",23.2430555555556,99.3325,1.87589383509462e-07
"5",23.2152777777778,99.3725,2.88599051552946e-08
"6",23.2152777777778,99.3975,9.42756901739871e-07
"7",23.2152777777778,99.4025,3.30686413237839e-06
"8",23.1180555555556,106.3375,1.45261522615022e-06
"9",23.0902777777778,100.8075,1.08224644332372e-07
"10",23.0625,106.8625,9.61996838510045e-08
"11",23.0486111111111,106.3725,7.21497628882432e-08
"12",23.0347222222222,106.3625,6.97447707919698e-08
"13",22.9930555555556,106.7725,1.14670023150401e-05
"14",22.9930555555556,106.7775,2.05145825812273e-06
"15",22.9791666666667,106.7775,3.17458956708322e-07
"16",22.9652777777778,106.8675,1.17844612717479e-07
"17",22.9375,106.3675,1.89994375605736e-07
"18",22.9236111111111,106.3825,1.39489541583953e-07
"19",22.9097222222222,106.3375,6.25297945031495e-08
"20",22.8819444444444,106.3575,1.27464581102573e-07
"21",22.8819444444444,106.3775,5.77198103105892e-08
"22",22.8680555555556,106.3475,2.09234312375937e-07
"23",22.8402777777778,106.4075,1.20249604813752e-07
"24",22.8402777777778,106.4125,4.32898577329486e-08
"25",22.8263888888889,106.3825,9.13896996584441e-08
"26",22.8125,106.4525,2.47714185916338e-07
"27",22.7986111111111,106.3275,8.89847075621707e-08
"28",22.7847222222222,106.3325,3.1264897251568e-08
"29",22.7569444444444,106.3775,4.08848656366617e-08
"30",22.7430555555556,106.3975,8.17697312733504e-08
"31",22.7013888888889,106.3325,9.61996838509368e-09
"32",22.6597222222222,99.0125,5.91628055683695e-07
"33",22.6319444444444,99.0525,4.80998419254955e-08
"34",22.6180555555556,106.3625,1.20249604813671e-08
"35",22.6041666666667,99.0525,7.21497628882432e-08
"36",22.6041666666667,99.0575,1.65944454642974e-07
"37",22.6041666666667,99.3325,1.17123115088601e-06
"38",22.6041666666667,106.3875,2.45309193820065e-07
"39",22.5902777777778,99.1125,2.16449288664608e-08
"40",22.5902777777778,106.3975,4.56948498292221e-08
"41",22.5902777777778,106.4075,9.86046759472779e-08
"42",22.5763888888889,106.3975,2.40499209627477e-08
"43",22.5763888888889,106.4075,6.01248024068761e-08
"44",22.5625,99.0475,4.08848656366617e-08
"45",22.5625,99.2125,1.20249604813671e-08
"46",22.5625,106.4075,3.36698893478414e-08
"47",22.5486111111111,99.0925,3.43913869767343e-07
"48",22.5486111111111,99.2775,1.82779399316902e-07
"49",22.5486111111111,99.2925,7.21497628882432e-08
"50",22.5347222222222,99.2775,2.16449288664608e-08
"51",22.5347222222222,106.4075,1.20249604813671e-08
"52",22.5347222222222,106.4475,3.84798735403883e-08
"53",22.5208333333333,99.0125,8.17697312733559e-07
"54",22.5069444444444,99.3025,1.68349446739139e-08
"55",22.5069444444444,99.3275,1.26502584264074e-06
"56",22.4930555555556,99.3225,4.52138514099728e-07
"57",22.4930555555556,99.3375,6.25297945031495e-08
"58",22.4652777777778,99.2975,1.68349446739139e-08
"59",22.4652777777778,99.3275,2.40499209627477e-08
"60",22.4513888888889,99.2875,2.35689225434958e-07
"61",22.4513888888889,99.3525,4.32898577329486e-08
"62",22.4513888888889,99.3575,7.47952541941575e-07
"63",22.4375,99.3475,5.79603095202314e-07
"64",22.4236111111111,98.9725,2.16449288664608e-08
"65",22.4236111111111,99.2325,3.36698893478414e-08
"66",22.4236111111111,99.3375,1.68349446739139e-08
"67",22.4236111111111,99.3625,2.54929162205159e-07
"68",22.4097222222222,99.0175,5.05048340217689e-08
"69",22.4097222222222,99.0225,9.42756901739871e-07
"70",22.3958333333333,99.0225,6.90232731630973e-07
"71",22.3958333333333,99.3375,2.88599051552946e-08
"72",22.3958333333333,99.3425,9.61996838509368e-09
"73",22.3958333333333,99.3475,3.63153806537544e-07
"74",22.3958333333333,99.3525,3.36698893478414e-08
"75",22.3958333333333,99.4375,2.04424328183376e-07
"76",22.3819444444444,99.3125,7.45547549845166e-08
"77",22.3819444444444,99.3225,8.65797154658973e-08
"78",22.3819444444444,99.4275,2.83789067360467e-07
"79",22.3819444444444,99.4325,3.29483917189689e-07
"80",22.3680555555556,99.3425,9.61996838509368e-09
"81",22.3680555555556,99.3475,2.40499209627477e-08
"82",22.3680555555556,99.3825,3.1264897251568e-08
"83",22.3680555555556,99.4275,8.41747233696239e-08
"84",22.3541666666667,99.3625,3.36698893478414e-08
"85",22.3541666666667,99.3675,2.64549130590212e-08
"86",22.3541666666667,99.3825,8.65797154658973e-08
"87",22.3541666666667,99.3875,3.84798735403883e-08
"88",22.3402777777778,99.3275,4.08848656366617e-08
"89",22.3402777777778,99.3625,1.44299525776405e-08
"90",22.3402777777778,99.3675,7.21497628882026e-09
"91",22.3402777777778,99.3775,3.1264897251568e-08
"92",22.3402777777778,99.3875,3.10243980419488e-07
"93",22.3263888888889,99.3025,9.13896996584441e-08
"94",22.3263888888889,99.3075,5.05048340217689e-08
"95",22.3263888888889,99.3275,3.1264897251568e-08
"96",22.3263888888889,99.3575,1.92399367701874e-08
"97",22.3263888888889,99.3625,2.59739146397705e-07
"98",22.3263888888889,99.3675,3.46318861863616e-07
"99",22.3125,99.2975,2.16449288664608e-08
"100",22.3125,99.3975,2.88599051552946e-08
"101",22.3125,99.4075,4.80998419254684e-09
"102",22.3125,99.4275,2.64549130590212e-08
"103",22.2986111111111,97.8675,4.32898577329486e-08
"104",22.2986111111111,97.8725,4.99757357605985e-06
"105",22.2986111111111,99.4225,1.92399367701874e-08
"106",22.2986111111111,99.4275,1.68349446739139e-08
"107",22.2847222222222,99.3475,3.60748814441148e-08
"108",22.2847222222222,99.3575,1.39489541583953e-07
"109",22.2847222222222,99.3675,6.97447707919698e-08
"110",22.2847222222222,99.3775,9.61996838509368e-09
"111",22.2847222222222,99.4125,9.86046759472779e-08
"112",22.2847222222222,99.4175,2.40499209627477e-08
"113",22.2847222222222,99.5425,1.56324486257881e-07
"114",22.2708333333333,97.8475,3.67963790730091e-07
"115",22.2708333333333,99.3275,4.80998419254684e-09
"116",22.2708333333333,99.3425,7.98457375963358e-07
"117",22.2708333333333,99.3475,2.30879241242411e-07
"118",22.2708333333333,99.3625,6.01248024068788e-07
"119",22.2708333333333,99.4125,9.61996838509368e-09
"120",22.2708333333333,99.4175,7.21497628882026e-09
"121",22.2569444444444,99.3175,1.442995257765e-07
"122",22.2569444444444,99.3475,7.21497628882026e-09
"123",22.2569444444444,99.3525,1.80374407220628e-07
"124",22.2569444444444,99.3625,1.44299525776405e-08
"125",22.2569444444444,99.3675,9.13896996584441e-08
"126",22.2569444444444,99.3925,3.36698893478414e-08
"127",22.2430555555556,99.3675,1.03414660139825e-07
"128",22.2430555555556,99.3775,4.56948498292221e-08
"129",22.2430555555556,99.3875,7.9364739177077e-08
"130",22.2430555555556,99.4025,1.20249604813671e-08
"131",22.2430555555556,99.4075,9.61996838509368e-09
"132",22.2430555555556,106.4775,4.56948498292221e-08
"133",22.2291666666667,99.3825,2.16449288664608e-08
"134",22.2291666666667,99.3925,2.40499209627477e-08
"135",22.2291666666667,99.3975,1.44299525776405e-08
"136",22.2152777777778,99.3675,3.60748814441148e-08
"137",22.2152777777778,99.3925,1.63539462546701e-07
"138",22.2152777777778,99.4225,8.41747233696239e-08
"139",22.2152777777778,99.4325,3.36698893478414e-08
"140",22.2152777777778,99.4375,9.61996838509368e-09
"141",22.2152777777778,99.4975,1.68349446739139e-08
"142",22.2013888888889,99.1025,4.80998419254955e-08
"143",22.1875,99.4025,9.61996838509368e-09
"144",22.1875,99.4375,2.52524170108885e-07
"145",22.1875,99.4725,6.25297945031536e-07
"146",22.1736111111111,99.3175,1.92399367702009e-07
"147",22.1736111111111,99.3225,1.92399367701874e-08
"148",22.1736111111111,99.3375,2.64549130590212e-08
"149",22.1736111111111,99.3525,2.04424328183376e-07
"150",22.1736111111111,99.4025,3.84798735403883e-08
